Category,"Number of Sites"
"Number of Sites",1152
"Average Percentage of Program Budget From Federal Government",17.6267326732673267
"Average Percentage of Program Budget From State or Local Government",19.8743982494529540
"Average Percentage of Program Budget From Parent Fees",41.9813928182807399
"Average Percentage of Program Budget From Grants",8.6361655773420479
"Average Percentage of Program Budget From Religious Organizations",0.53653217011995637950
