Category,"Number of Sites"
"Number of Sites",1152
"Number of Sites that Require Fingerprinting",974
"Number of Sites that Require Drug Testing",307
"Number of Sites that Require Background Checks",933
"Number of Sites that Require Personal References",943
"Number of Sites that Require Other Checks",273
