Category,"Number of Sites"
"Number of Sites",1152
"Number of Sites that Provide Staff Training/Professional Development Monthly",463
"Number of Sites that Provide Staff Training/Professional Development Quarterly",226
"Number of Sites that Provide Staff Training/Professional Development Semi-annually",178
"Number of Sites that Provide Staff Training/Professional Development Annually",54
"Number of Sites that Provide Staff Training/Professional Development Less Than Once a Year",12
"Average Hours of Training/Professional Development Provided",19.0616216216216216
"Number of Sites that Rank On-line Training First",51
"Number of Sites that Rank Workshops/Conferences First",75
"Number of Sites that Rank Trainers Specializing in Specific Subject Matter First",80
"Number of Sites that Rank Peer to Peer Coaching First",115
"Number of Sites that Rank Supervision First",594
"Number of Sites that Rank On-line Training Second",303
"Number of Sites that Rank Workshops/Conferences Second",201
"Number of Sites that Rank Trainers Specializing in Specific Subject Matter Second",173
"Number of Sites that Rank Peer to Peer Coaching Second",184
"Number of Sites that Rank Supervision Second",54
"Number of Sites that Rank On-line Training Third",199
"Number of Sites that Rank Workshops/Conferences Third",275
"Number of Sites that Rank Trainers Specializing in Specific Subject Matter Third",213
"Number of Sites that Rank Peer to Peer Coaching Third",162
"Number of Sites that Rank Supervision Third",66
"Number of Sites that Rank On-line Training Fourth",76
"Number of Sites that Rank Workshops/Conferences Fourth",211
"Number of Sites that Rank Trainers Specializing in Specific Subject Matter Fourth",267
"Number of Sites that Rank Peer to Peer Coaching Fourth",280
"Number of Sites that Rank Supervision Fourth",79
"Number of Sites that Rank On-line Training Last",283
"Number of Sites that Rank Workshops/Conferences Last",153
"Number of Sites that Rank Trainers Specializing in Specific Subject Matter Last",180
"Number of Sites that Rank Peer to Peer Coaching Last",174
"Number of Sites that Rank Supervision Last",122
