"Location ID","Location Name","Location Name (Spanish)",Address,"Address Line 2",City,State,Zip
448,"Augusta Ranch Elementary",,"9430 E. Neville Ave.",,Mesa,AZ,85209
921,AzCASE,,"3205 S. Rural Rd.",,Tempe,AZ,85282
895,"Bahsa Elementary",,"3535 E Basha Road",,Chandler,AZ,85248
1140,"Bales Elementary",,"25400 W. Maricopa Rd",,Buckeye,AZ,85326
229,"Balsz Elementary School",,"4309 E. Belleview St.",,Phoenix,AZ,85008
745,"Banks Elementary",,"3200 S Lead Flower",,Tucson,AZ,85735
858,"Barbara B. Robey Elementary",,"5340 Wigwam Creek Blvd",,"Litchfield Park",AZ,85340
646,"Barbara B Robey Elementary School",,"5340 N Wigwam Creek Blvd",,"Litchfield Park",AZ,85340
534,"Barefoot Days Preschool",,"8323 E 22nd Street",,Tucson,AZ,85710
79,"Barker Branch",,"2311 N Miller Rd",,Scottsdale,AZ,85257
393,"Basha Elementary School",,"3535 S. Basha Road",,Chandler,AZ,85248
799,"Be A Leader Foundation ",,"6850 N. Central Avenue",,"Phoenix ",AZ,85012
1054,"Beginners Edge Sports Training",,"24654 North Lake Pleasant Parkway","Suite 1830-1840","Peoria ",AZ,85383
1053,"Beginners Edge Sports Training",,"7000 East Shea Blvd","Suie 1830","Scottsdale ",AZ,85254
699,"Bernard Black Elementary School",,"6550 South 27th Avenue",,Phoenix,AZ,85041
201,"Betania Presbyterian Church",,"2811 N. 39th Avenue",,Phoenix,AZ,85009
741,"Bethel Church",,"6901 E. Horizon Lane",,"Prescott Valley",AZ,86314
1,"Beyond Care Preschool",,"1601 E. Bell Rd.",A19,Phoenix,AZ,85022
486,"Bicentennial North School",,"7237 W. Missouri Avenue",,Glendale,AZ,85303
937,"Bicentennial South School",,"7240 W Colter Avenue",,Glendale,AZ,85303
1015,"Big Brothers Big Sisters of Tucson","Big Brothers Big Sisters of Tucson","160 E Alameda",,Tucson,AZ,85701
395,"Black Mountain Elementary",,"33606 N. 60th St",,Scottsdale,AZ,85262
1059,"Blackstone Country Club",,"12101 W Blackstone Dr",,Peoria,AZ,85383
227,"Blenman Elementary School",,"1695 North Country Club",,Tucson,AZ,85716
987,"Bloom Elementary KIDCO",,"8310 E. Pima",,Tucson,AZ,85715
81,"Bogle Junior High School",,"1600 W. Queen Creek Rd.",,Chandler,AZ,85248
411,"Bologna Elementary School",,"1625 East Frye Road",,Chandler,AZ,85225
563,"Bonillas Elementary School",,"5500 E Winsett St",,Tucson,AZ,85711
1146,"Borton elementary - KIDCO",,"701 E. 22nd Street",,Tucson,AZ,85713
487,"Borton Elementary School",,"700 E 22nd Street",,Tucson,AZ,85713
540,"Boulder Creek Elementary",,"22801 N. 22nd Street",,Phoenix,AZ,85024
148,"Boys and Girls Club",,"5047 W. Pecos Rd.",,Laveen,AZ,85339
619,"Boys and Girls Clubs of Greater Scottsdale - Piper Branch",,"10515 Lakeview Dr",,Scottsdale,AZ,85258
