Category,"Number of Sites"
"Number of Sites",1284
"Number of School Year Sites",772
"Number of Summer Sites",506
"Number of Sites with Tutoring/Academic Enrichment as an Activity",935
"Number of Sites with Arts and Culture as an Activity",1054
"Number of Sites with Sports and Recreation as an Activity",1059
"Number of Sites with Volunteering/Community Service as an Activity",518
"Number of Sites with Character Education as an Activity",768
"Number of Sites with Leadership as an Activity",700
"Number of Sites with Nutrition as an Activity",843
"Number of Sites with Prevention as an Activity",502
"Number of Sites with Mentoring as an Activity",593
"Number of Sites with Support Services as an Activity",151
"Number of Sites with STEM as an Activity",116
"Number of Sites with College and Career Readiness as an Activity",57
"Number of Sites Serving Ages 5-8",1116
"Number of Sites Serving Ages 9-11",1098
"Number of Sites Serving Ages 12-14",991
"Number of Sites Serving Ages 15-18",280
