"City Name","Number of Sites","Average Site Capacity","Number of Sites at Capacity","Number of Children Served","Average Number of Children Served","Average Number Full-Time Staff","Average Number Part-Time Staff","Average Number Volunteer Staff","Average Number Working Staff"
Flagstaff,7,145.6666666666666667,6,,,5.0000000000000000,13.3333333333333333,12.3333333333333333,16.6666666666666667
Scottsdale,65,131.8548387096774194,8,5413,96.6607142857142857,3.5849056603773585,5.9322033898305085,1.5294117647058824,7.8644067796610169
