Category,"Number of Sites"
"Number of Sites",1152
"Number of Sites That Offer Transportation Assistance",314
"Average Transportation Cost",8.0241379310344828
"Number of Sites Where Snacks are Served",920
"Number of Sites Where Breakfast is Served",378
"Number of Sites Where Lunch is Served",306
"Number of Sites Where Dinner is Served",69
"Average Percentage of Students Participants in Free Lunch Program",39.0125556544968833
"Number of Sites Where Spanish is Spoken",52
"Number of Sites Where Other Languages are Spoken",3
