"Congressional District","Number of Sites","Average Percentage of Program Budget From Federal Government","Average Percentage of Program Budget From State or Local Government","Average Percentage of Program Budget From Parent Fees","Average Percentage of Program Budget From Grants","Average Percentage of Program Budget From Religious Organizations"
1,35,21.8518518518518519,25.8620689655172414,29.6551724137931034,3.4482758620689655,0.00000000000000000000
2,202,10.6006211180124224,18.0322981366459627,55.2602484472049689,3.5471698113207547,0.31055900621118012422
3,134,29.6116504854368932,36.0952380952380952,12.1142857142857143,15.9611650485436893,0.19047619047619047619
4,17,25.6000000000000000,0.00000000000000000000,16.4000000000000000,38.0000000000000000,0.20000000000000000000
5,125,2.4489795918367347,6.2755102040816327,66.4387755102040816,4.6600000000000000,0.00000000000000000000
6,201,24.5426829268292683,17.5059523809523810,45.1369047619047619,6.8343195266272189,0.00000000000000000000
7,130,22.0363636363636364,29.9000000000000000,8.9181818181818182,18.9107142857142857,3.0909090909090909
8,124,14.7956989247311828,7.5760869565217391,67.6210526315789474,4.8602150537634409,0.00000000000000000000
9,181,15.3928571428571429,22.7142857142857143,41.3500000000000000,7.4928571428571429,0.57971014492753623188
