Category,"Number of Sites"
"Number of Sites",1235
"Number of 21st Century Community Centers",184
"Number of Faith-Based Programs",42
"Number of Public School Based Programs",338
"Number of Private School Based Programs",61
"Number of Home Based Programs",6
"Number of Corperate Run Programs",76
"Number of Community Based Programs",248
