Category,"Number of Sites"
"Number of Sites",60
"Average Site Capacity",134.0588235294117647
"Number of Sites at Capacity",16
"Number of Children Served",2124
"Average Number of Children Served",53.1000000000000000
"Average Number Full-Time Staff",3.4901960784313725
"Average Number Part-Time Staff",5.6666666666666667
"Average Number Volunteer Staff",4.8372093023255814
"Average Number Working Staff",8.1176470588235294
