Category,"Number of Sites"
"Number of Sites",1152
"Number of Sites That Allow Children/Teens to Plan Activities At Least Weekly",396
"Number of Sites That Allow Children/Teens to Plan Activities Monthly",258
"Number of Sites That Allow Children/Teens to Plan Activities Quarterly",99
"Number of Sites That Allow Children/Teens to Plan Activities Annually",74
"Number of Sites That Allow Children/Teens to Plan Activities Less Than Annually",166
"Number of Sites That Allow Children/Teens to Create Rules At Least Weekly",217
"Number of Sites That Allow Children/Teens to Create Rules Monthly ",181
"Number of Sites That Allow Children/Teens to Create Rules Quarterly ",141
"Number of Sites That Allow Children/Teens to Create Rules Annually ",223
"Number of Sites That Allow Children/Teens to Create Rules Less Than Annually ",233
"Number of Sites That Regularly Collaborate with Schools",778
"Number of Sites That Collaborate with Schools Weekly",414
"Number of Sites That Collaborate with Schools Monthly",157
"Number of Sites That Collaborate with Schools Quarterly ",108
"Number of Sites That Collaborate with Schools Less Than Quarterly",87
